id,title,url,inclusion,exclusion,email,email_source,contact_name,eligibility_summary
NCT07187388,"Investigating the Impact of Electrical Stimulation on Facial Pain, Jaw Movement and Oral Health in People With Motor Neuron Disease.",https://clinicaltrials.gov/study/NCT07187388,"Inclusion Criteria:

* Diagnosis of possible, probable, or definite ALS (El-Escorial Revisited) OR diagnosis of definite PLS by the treating neurologist and based on the consensus diagnostic criteria for PLS
* Subjective report of jaw pain, indicated by a NRS score of \> or = 3/10.","Exclusion Criteria:

* history of head or neck cancer
* history of CVA
* history of past facial surgery with hardware placement
* history of pacemaker
* diagnosis of significant cognitive impairment by the treating physician
* history of seizures or diagnosis of epilepsy
* open wound at the area of electrode placement
* complete loss of sensation at the area of electrode placement",kayla.chomko@nova.edu,centralContacts,"Kayla Chomko, PT, DPT","Trial NCCT07187388 is aimed to enroll individuals diagnosed with possible, probable, or definite Amyotrophic Lateral Sclerosis (ALS) as well as those undergoing treatment for PLS based on the criteria of a subjective NRSC score of > or = 3/10. Individuals excluded from this trial include those with history of head or neck cancer, history of CVA, history of past facial surgery with hardware placement, diagnosis of significant cognitive impairment by the treating physician, diagnosis of seizures, diagnosis of epilepsy, open wound at the area of electrode placement, complete loss of sensation at the area of electrode placement."
NCT06844370,Home Versus Hospital Based NIV Care in MND,https://clinicaltrials.gov/study/NCT06844370,"Inclusion Criteria:

* Adults with a diagnosis of Motor Neurone Disease confirmed by a neurologist specialising in MND.
* Indications to NIV: daytime pCO2 \>6.0 kPa or/and symptoms of ventilatory failure (e.g. orthopnoea, paroxysmal nocturnal dyspnoea, morning drowsiness) in the presence of significant diaphragmatic weakness confirmed by respiratory muscle tests","Exclusion Criteria:

* Cognitive impairment precluding understanding of the study protocol and valid consent
* Severe co-morbidities (e.g. decompensated heart failure, severe chronic obstructive pulmonary disease (COPD), morbid obesity) causing or contributing to respiratory failure
* Immediate need to start NIV (\<24hrs) and/or acute illness requiring inpatient treatment e.g. intravenous antibiotics for pneumonia (in addition to the need for NIV)
* Lack of a sufficient social/professional network to support NIV application at home
* Not wishing to accept home NIV",dariusz.wozniak@nhs.net,centralContacts,Dariusz Wozniak,"The clinical trial NCCT06844370 aims to recruit adults with Motor Neurone Disease (MND) confirmed by a neurologist specializing in MND, with symptoms of ventilatory failure (e.g. Orthopnoea, paroxysmal nocturnal dypsnoea, morning drowsiness) and significant diaphragmatic weakness confirmed by respiratory muscle tests. Individuals are eligible if they have an indication for NIV (daytime pCO2 >6.0 kPa or/and symptoms of ventilatory failure) and meet the inclusion criteria, but individuals are excluded from the study if they have co-morbidities (e.g. Cognitive impairment, severe chronic obstructive pulmonary disease [COPD], morbid obesity), immediate need to start NIV (in addition to the need for NIV) and lack of a social/professional network to support NIV application at home."
NCT03366506,Investigation of the Epidemiological Factors Associated With the Development of Amyotrophic Lateral Sclerosis (ALS),https://clinicaltrials.gov/study/NCT03366506,"Inclusion Criteria:

\- Suspected, possible, probable ,definite ALS","Exclusion Criteria:

\-",marc@gotkine.com,centralContacts,"Marc Gotkine, MBBS",This clinical trial aims to enroll patients with suspected or possibleprobable (but not definite) ALS due to idiopathic disease (not due toany other cause). Patients are excluded from the study if they have ALMSubjects who were in the study previously.
NCT06735014,Multicenter ALS Imaging Study,https://clinicaltrials.gov/study/NCT06735014,"For participants with ALS:

* \< 36 months since onset of symptoms
* Definite, probable, lab supported-probable or possible ALS by El Escorial criteria OR definite, probable or possible ALS per Awaji-Shima Criteria
* Forced vital capacity within the last 90 days ≥ 60% of the predicted value
* Able to consent for themselves
* Able to read and speak English
* Clear of any contraindications for MRI","Exclusion Criteria:

* Individuals will be excluded if they have any condition that makes MRI unsafe or if they are unable to comply with instructions.
* All participants will undergo a neurologic examination at enrollment. Control participants with clinically significant abnormal findings on neurological examination will be excluded from the study.",baile807@umn.edu,centralContacts,"Melisa Bailey, MS","Clinical trial NCCT06735014 is seeking participants with ALS to participate in a multimodal magnetic resonance imaging (MRI) study that will assess the impact of different neurological examinations, as well as various therapies for patients diagnosed with amyotrophic lateral sclerosis (ALS). Those who meet eligibility criteria and are able to attend the clinical trial may undergo MRI evaluations in order to determine their brain activity and assess the efficacy of different neurological examinations. Participants must also be able to provide clear, written consent to participate in the study. Exclusion criteria include any condition that makes MRIs unsafe or unsuitable for participants, clinically significant abnormal findings during a neurologic examination, and those unable to complete an extensive neurological assessment at enrollment."
NCT06649955,Controlling Amyotrophic Lateral Sclerosis Motor Neuron Excitability Study,https://clinicaltrials.gov/study/NCT06649955,"Inclusion Criteria:

1. 18-80 years of age inclusive
2. Sporadic or familial ALS diagnosed as clinically possible, probable, lab-supported probable, or definite ALS as defined by revised El Escorial criteria
3. Less than or equal to 3 years since ALS symptom onset
4. Slow Vital Capacity ≥ 50% of predicted capacity at the time of Screening as determined using a portable spirometer
5. For TTNCS: Median CMAP ≥ 1.5 mV
6. Willing to forgo botulinum toxin, phenol or alcohol injections, intrathecal baclofen, digitalis, and morphine for the study duration
7. Willing to refrain from participation in any other therapeutic clinical trial or investigational product for ALS for the duration of this study
8. Women must not be able to become pregnant (e.g., post-menopausal, surgically sterile, or using adequate birth control methods) for the duration of the study and 3 months after study completion.
9. Stable dose of rilutek (Riluzole), edaravone (Radicava), or tofersen (Qualsody) and oral medications for muscle spasms/cramps (e.g. mexiletine, quinine, quinidine, magnesium, gabapentin, oxcarbazepine, baclofen) for at least 30 days prior to the onset of participation in the study
10. ALS Functional Rating Score (ALSFRS-R) of greater than or equal to 35
11. Willing and able to give informed consent","Exclusion Criteria:

1. Study participants who are on permanent assisted ventilation (PAV) defined as \>22h of noninvasive or invasive ventilation a day for \> 7 consecutive days.
2. Study participants who have been diagnosed with ALS having only clinical bulbar involvement
3. Implanted intrathecal pump
4. Prior botulinum toxin injection(s) at any site within 12 weeks of study enrollment
5. Prior phenol or alcohol injections for spasticity within 6 months of study enrollment
6. Presence of potential tsDCS and/or TMS risk factors:

   1. Damaged skin at the stimulation sites (i.e., skin with ingrown hairs, acne, razor nicks, wounds that have not healed, recent scar tissue, broken skin, etc.)
   2. Presence of an electrically, magnetically or mechanically activated implant (including cardiac pacemaker) or any other electrically sensitive support system with the exception of loop recorders
   3. Ferromagnetic metal in the head, neck or any site of stimulation including, but not limited to, aneurysm clips, implanted medication pumps, implanted brain stimulators, pacemakers, cochlear implants, implanted metal prostheses or metal due to any injury; dental fillings are permitted. Jewelry must be removed during stimulation
   4. Seizures or unexplained spells of loss of consciousness during the previous 12 months
   5. Any cardiac abnormality that may be exacerbated by transthoracic electrical stimulation
   6. History of cord lesions or previous spinal surgery that may interfere with procedure as determined by the study MD
   7. History of intracranial brain lesions, cortical stroke or previous neurosurgery that may interfere with TMS (e.g., in regions to be stimulated for TMS evaluations) as reviewed and approved by the study MD
7. Any medical condition that would prevent the participant from being able to participate in the clinical outcome measures
8. Pregnant females, as determined by a pregnancy test at V1 (in females of child-bearing potential)",mhemme@bidmc.harvard.edu,centralContacts,"Seward Rutkove (Clinical Site PI), M.D.","The clinical trial NCT06649558 (""Clinical Trial NC TTNCs for Treatment of Progressive Supranuclear Palsy (PSP)"" by UCSF, Johns Hopkins University and NeuroRx Research) is designed to evaluate the safety and efficacy of transcranial magnetic stimulation (TMS) in the treatment of progressive supranuclear palsy (PSP). The study excludes patients with any condition or medical history that would prevent them from participating, including those who are on permanent assisted ventilation (PAV), have been diagnosed with bulbar involvement, experienced phenol or alcohol injections for spasticity within 6 months of study enrollment, had potential TsDCs and/or TMS risk factors such as damaged skin at stimulation sites or magnetically sensitive support system(s) (including but not limited to loop recorders), ferromagnetic metal in the head, neck, or any site of stimulation, jewelry removal during stimulation, seizures or unexplainable spells of loss of consciousness. The study is looking for participants aged 18-80 years with clinically possible, probable, lab-supported probable, and definite PSP as defined by revised El Escorial criteria, less than or equal to 3 years since ALS symptom onset, and no other therapetic clinical trial/investigational product for Alzheimer's disease (AD) in those patients."
NCT06172621,Spinal Cord Associative Plasticity for ALS,https://clinicaltrials.gov/study/NCT06172621,"Inclusion Criteria:

* Diagnosis of ALS by Gold Coast Criteria (Shefner et al. 2020) or ""definite"" or ""probable"" ALS by revised El Escorial Criteria (Brooks et al. 2000)
* Incomplete weakness: Score of 1, 2, 3, or 4 (out of 5) on manual muscle testing of finger extension, finger flexion, or finger abduction in left or right hand
* TSCS-evoked potential amplitude of at least 25 V in left or right abductor pollicis brevis (APB) or first dorsal interosseous (FDI) muscles with a resting motor threshold of 55 mA or lower
* TMS-evoked potential amplitude of at least 25 V in left or right abductor pollicis brevis (APB) or first dorsal interosseous (FDI) muscles with a resting motor threshold of 65% MSO or lower","Exclusion Criteria:

* History of seizures
* Ventilator dependence or patent tracheostomy site
* Use of medications that significantly lower seizure threshold, such as amphetamines and dalfampridine
* History of severe head trauma (evidence of brain contusion or hemorrhage or depressed skull fracture on prior imaging)
* History of implanted brain/spine/nerve stimulators, aneurysm clips, ferromagnetic metallic implants in the head (except for inside mouth); cochlear implants; cardiac pacemaker/defibrillator; intracardiac lines; currently increased intracranial pressure; or other contraindications to brain or spine stimulation
* Significant coronary artery or cardiac conduction disease; heart failure with an ejection fraction of less than 30% or with a New York Heart Association Functional Classification of Class III or IV
* History of significant tinnitus
* History of bipolar disorder
* History of suicide attempt
* Active psychosis
* Ongoing illicit drug or alcohol abuse in the past 6 months
* Heavy alcohol consumption (greater than equivalent of 5 ounces of liquor) within previous 48 hours
* Open skin lesions over the neck, shoulders, or arm stimulation or recording sites
* Pregnancy",francisco.castano@va.gov,centralContacts,"Francisco E Castano, MPH","This clinical trial is specifically looking for patients with amyotrophic lateral sclerosis (ALS) who have a confirmed diagnosis of ALS by the Gold Coast Criteria (Shefner et al., 2020), or ""definite"" or ""probable"" ALS according to the revised El Escorial Criteria (Brooks et al., 2000). Those with incomplete weakness, TSCS-evoked potential amplitude of at least 25 V in left or right abductor policiis brevis (APB) or first dorsal interossieous muscles with a resting motor threshold of 55 mA or lower, and exclusions such as history of severe head trauma, implanted brain/spine/nerve stimulators, cardiac pacemaker/defibrillator, currently increased intrascranic pressure, significant tinning, psychosis, open skin lesions over the neck, shoulders, or arm stimulation sites, pregnancy are excluded from this clinical trial."
NCT06877143,Hypercaloric PEG Nutrition in ALS to Sustain Energy Homeostasis,https://clinicaltrials.gov/study/NCT06877143,"Inclusion Criteria:

* Possible, probable (clinically or laboratory) or definite ALS according to the revised version of the El Escorial World Federation of Neurology criteria 1
* Loss of ALS functional rating scale revised (ALSFRS-R) of ≥ 0.33 points per month since onset (first paresis) based on the formula: (48 - Score at Screening Visit) / (Months between Onset and Screening Visit)
* Nutrition via PEG
* Age ≥18 years
* Intake of a stable dose of riluzole for at least 4 weeks, or no riluzole
* Capable of thoroughly understanding all information given and giving full informed consent according to GCP","Exclusion Criteria:

* Previous participation in another interventional study within the preceding 4 weeks
* Absence of adequate social support and cooperation, or personal motivation (in the judgment of the investigator) to complete the study satisfactorily
* Pregnancy or breast-feeding females
* Evidence of a major psychiatric disorder or clinically evident dementia",christine.herrmann@uni-ulm.de,centralContacts,"Christine Herrmann, Dr.","This clinical trial is seeking participants with possible, probable, or definite Alpha-Lactic Acid Syndrome (ALS) according to the revision of the El Escorial World Federation of Neurology criteria as pertaining to ALS functional rating scale revisions (ALSFRS-R) of ≥ 0.33 points per month since onset, and intake of a stable dosage of ribulose bisphosphate carboxylase in at least 4 weeks, or no rluzole. Participants under the age of 18 are excluded from this trial, while prior participation in another interventional study within the preceding 4 weeks is considered to be a major psychiatric disorder. Pregnancy and breast-feeding females are also excused."
NCT04885374,China Amyotrophic Lateral Sclerosis Registry of Patients With Traditional Chinese Medicine,https://clinicaltrials.gov/study/NCT04885374,"Inclusion Criteria:

* Patients aged 18 years and older.
* Patients with possible, laboratory supported probable, probable, or definite ALS according to the revised El Escorial criteria.
* ALS patients treated with traditional Chinese medicine.","Exclusion Criteria:

* Patients who refuse informed consent.",gaoying973@126.com,centralContacts,"Ying Gao, MD, PhD","Title: A clinical trial evaluating the effectiveness of Traditional Chinese Medicine (TCM) in ALS patients

Inclusion criteria: Patients aged 18 years and older with possible, laboratory supported probable, probable, or definite ALS according to the revised El Escorial criteria.

Exclusion criteria: Patients who refuse informed consent."
NCT07091799,Interest of Measuring P2X4 Receptors on Blood Monocytes as a Diagnostic Marker in Amyotrophic Lateral Sclerosis: P2X4 as a Diagnostic Biomarker for ALS,https://clinicaltrials.gov/study/NCT07091799,"Inclusion Criteria:

* For ALS group: Person presenting a probable or confirmed diagnosis of ALS according to the criteria of EI Escorial.
* Adult.
* Person affiliated or beneficiary of a social security scheme.
* Free, informed and written consent signed by the participant or by a third person (in case of physical incapacity of the participant), after information on the study.","Exclusion Criteria:

* People undergoing immunosuppressive or corticosteroid treatments.
* Participation in a research protocol with an experimental treatment.
* People placed under guardianship, curatorship or legal protection.
* For healthy volunteer, people directly related to the patient (siblings, descendants and ancestry).",gwendal.le-masson@chu-bordeaux.fr,centralContacts,"Gwendal Le Masson, Pr","This clinical trial aims to recruit adults affected by amyotrophic lateral sclerosis (ALS) according to the criteria of EI Escorial, with a diagnosis of ALS according to the criteria of the International Staging System for Amyotrophic Lateral Sclerosis. Participants must be affiliated or beneficiaries of a social security scheme and free, informed, and written consent signed by them or by a third party after information on the study. Excluded from participation include people undergoing immunosuppressive or corticoid treatments, those participating in a research protocol with experimental treatments, patients placed under guardianship or curatorship, people related to the patient, direct descendants and ancestors of the participant, and healthy volunteers."
NCT06609213,Oral Intake of Enteral Nutrition Formula Preceding Placement and Feeding Via GTube and Its Impact on Formula Intolerance in pALS,https://clinicaltrials.gov/study/NCT06609213,"Inclusion Criteria:

* Diagnosis of possible, probable, or definite ALS or motor neuron disease by the treating neurologist (El-Escorial Revisited).
* Planned tube feeding placement within the following 4 to 6 weeks.","Exclusion Criteria:

* History of Crohns disease, inflammatory bowel disease, irritable bowel syndrome, celiac disease, food allergies and/or sensitivities to any of the formula ingredients, neurodegenerative disease diagnosis outside of ALS, or other concomitant disorder that might contribute to GI symptoms.
* Diagnosis of frontotemporal dementia.
* Nil per oral status.
* Any reason causing the immediate need for a feeding tube placement, including but not limited to severe malnutrition diagnosis.",acharve1@nova.edu,centralContacts,"Andrea Charvet, PhD, RDN, LDN","The clinical trial NCCT06609213 is aimed at identifying the efficacy of a new feeding tube for patients with severe malnutrition diagnosis, in which none of the participants has been excluded based on the inclusion criteria. The trial will enroll patients with probable or definite ALS or motor neuron disease with a planned tube feeding within 4-6 weeks. Non-exclusion criteria include Crohn's disease, inflammatory bowel disease, irritable bowel syndrome, celiac disease, food allergy, and neurodegenerative disease diagnosis outside of ALs, frontotemporal dementi, nil per oraL status, any reason causing the immediate need for a feeding tube placement, including but not limited to severe malnutrition diagnosis."
